OM_CATEGORY_LABEL,OM_SIMPLIFIED_CATEGORY,OM_UPDATED_CATEGORY,FSQ_CATEGORY_ID,FSQ_CATEGORY_LABEL,FSQ_CATEGORY_PRIMARY,FSQ_CATEGORY_SECONDARY,MATCH_SCORE,MATCHED_TEXT,ALTERNATES
parenting_classes,Education,Education,16032,Landmarks and Outdoors > Park,Landmarks and Outdoors , Park,77.14285714285715,park,Landmarks and Outdoors > Park (ID 16032) [77.14285714285715]; Business and Professional Services > Health and Beauty Service > Spa (ID 11073) [72.0]; Event > Entertainment Event > Parade (ID 14006) [72.0]; Sports and Recreation > Baseball > Batting Cages (ID 18005) [66.66666666666667]; Landmarks and Outdoors > Garden (ID 16017) [65.45454545454547]
self_defense_classes,Education,Exercise/Wellness,16011,Landmarks and Outdoors > Castle,Landmarks and Outdoors , Castle,60.00000000000001,castle,"Landmarks and Outdoors > Castle (ID 16011) [60.00000000000001]; Travel and Transportation > Lodging > Hostel (ID 19013) [60.00000000000001]; Sports and Recreation > Golf (ID 18016) [57.0]; Dining and Drinking > Cafe, Coffee, and Tea House > Pet Café (ID 13063) [56.25]; Event (ID 14000) [54.0]"
life_coach,Education,Education,14008,Event > Line,Event , Line,67.5,line,"Event > Line (ID 14008) [67.5]; Landmarks and Outdoors > Beach (ID 16003) [67.5]; Dining and Drinking > Restaurant > Deli (ID 13039) [60.00000000000001]; Dining and Drinking > Cafe, Coffee, and Tea House > Café (ID 13034) [57.0]; Travel and Transportation > Cable Car (ID 19065) [56.25]"
montessori_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,85.5,arts and entertainment samba school,Arts and Entertainment > Samba School (ID 10050) [85.5]; Community and Government > Education > Art School (ID 12011) [85.5]; Community and Government > Education > Circus School (ID 12012) [85.5]; Community and Government > Education > College and University > Law School (ID 12044) [85.5]; Community and Government > Education > College and University > Medical School (ID 12045) [85.5]
first_aid_class,Education,Education,10017,Arts and Entertainment > Fair,Arts and Entertainment , Fair,77.14285714285715,fair,Arts and Entertainment > Fair (ID 10017) [77.14285714285715]; Travel and Transportation > Transportation Service > Taxi (ID 19068) [67.5]; Landmarks and Outdoors > Forest (ID 16015) [65.45454545454547]; Community and Government > Education > College and University > College Classroom (ID 12022) [61.559999999999995]; Community and Government > Assisted Living (ID 12117) [61.559999999999995]
vocational_and_technical_school,Education,Education,10025,Arts and Entertainment > Movie Theater > Drive-in Theater,Arts and Entertainment , Movie Theater ,85.5,arts and entertainment movie theater drive in theater,Arts and Entertainment > Movie Theater > Drive-in Theater (ID 10025) [85.5]; Arts and Entertainment > Movie Theater > Indie Movie Theater (ID 10026) [85.5]; Arts and Entertainment > Performing Arts Venue > Amphitheater (ID 10036) [85.5]; Arts and Entertainment > Performing Arts Venue > Concert Hall (ID 10037) [85.5]; Arts and Entertainment > Performing Arts Venue > Indie Theater (ID 10038) [85.5]
cooking_classes,Education,Education,13373,Dining and Drinking > Restaurant > Turkish Restaurant > Turkish Home Cooking Restaurant,Dining and Drinking , Restaurant ,85.5,dining and drinking restaurant turkish restaurant turkish home cooking restaurant,Dining and Drinking > Restaurant > Turkish Restaurant > Turkish Home Cooking Restaurant (ID 13373) [85.5]; Business and Professional Services > Office > Coworking Space (ID 11128) [66.66666666666667]; Sports and Recreation > Skating (ID 18054) [62.18181818181819]; Travel and Transportation > Parking (ID 19020) [62.18181818181819]; Arts and Entertainment > Zoo (ID 10056) [60.00000000000001]
business_schools,Education,Education,11000,Business and Professional Services,Business and Professional Services,,85.5,business and professional services,Business and Professional Services (ID 11000) [85.5]; Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]
dui_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,85.5,arts and entertainment samba school,Arts and Entertainment > Samba School (ID 10050) [85.5]; Community and Government > Education > Art School (ID 12011) [85.5]; Community and Government > Education > Circus School (ID 12012) [85.5]; Community and Government > Education > College and University > Law School (ID 12044) [85.5]; Community and Government > Education > College and University > Medical School (ID 12045) [85.5]
charter_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,85.5,arts and entertainment samba school,Arts and Entertainment > Samba School (ID 10050) [85.5]; Community and Government > Education > Art School (ID 12011) [85.5]; Community and Government > Education > Circus School (ID 12012) [85.5]; Community and Government > Education > College and University > Law School (ID 12044) [85.5]; Community and Government > Education > College and University > Medical School (ID 12045) [85.5]
after_school_program,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,85.5,arts and entertainment samba school,Arts and Entertainment > Samba School (ID 10050) [85.5]; Community and Government > Education > Art School (ID 12011) [85.5]; Community and Government > Education > Circus School (ID 12012) [85.5]; Community and Government > Education > College and University > Law School (ID 12044) [85.5]; Community and Government > Education > College and University > Medical School (ID 12045) [85.5]
research_institute,Education,Education,11158,Business and Professional Services > Research Station,Business and Professional Services , Research Station,85.5,business and professional services research station,Business and Professional Services > Research Station (ID 11158) [85.5]; Business and Professional Services > Market Research and Consulting Service (ID 11186) [85.5]; Business and Professional Services > Research Laboratory (ID 11192) [85.5]; Landmarks and Outdoors > Beach (ID 16003) [72.0]; Travel and Transportation > Lodging > Inn (ID 19015) [68.4]
waldorf_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,85.5,arts and entertainment samba school,Arts and Entertainment > Samba School (ID 10050) [85.5]; Community and Government > Education > Art School (ID 12011) [85.5]; Community and Government > Education > Circus School (ID 12012) [85.5]; Community and Government > Education > College and University > Law School (ID 12044) [85.5]; Community and Government > Education > College and University > Medical School (ID 12045) [85.5]
massage_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,85.5,arts and entertainment samba school,Arts and Entertainment > Samba School (ID 10050) [85.5]; Business and Professional Services > Health and Beauty Service > Massage Clinic (ID 11070) [85.5]; Community and Government > Education > Art School (ID 12011) [85.5]; Community and Government > Education > Circus School (ID 12012) [85.5]; Community and Government > Education > College and University > Law School (ID 12044) [85.5]
tasting_classes,Education,Education,18005,Sports and Recreation > Baseball > Batting Cages,Sports and Recreation , Baseball ,71.42857142857143,batting cages,Sports and Recreation > Baseball > Batting Cages (ID 18005) [71.42857142857143]; Sports and Recreation > Skating (ID 18054) [71.25]; Retail > Fashion Retail > Sunglasses Store (ID 17049) [66.00000000000001]; Arts and Entertainment > Gaming Cafe (ID 10018) [61.53846153846154]; Arts and Entertainment > Casino (ID 10008) [60.00000000000001]
cycling_classes,Education,Beauty & Wellness,14008,Event > Line,Event , Line,67.5,line,Event > Line (ID 14008) [67.5]; Travel and Transportation > Lodging (ID 19009) [62.18181818181819]; Sports and Recreation > Curling Ice (ID 18011) [61.53846153846154]; Business and Professional Services > Recycling Facility (ID 11153) [60.60606060606061]; Community and Government > Education > College and University > College Classroom (ID 12022) [60.00000000000001]
student_union,Education,Education,11051,Business and Professional Services > Financial Service > Banking and Finance > Credit Union,Business and Professional Services , Financial Service ,85.5,business and professional services financial service banking and finance credit union,Business and Professional Services > Financial Service > Banking and Finance > Credit Union (ID 11051) [85.5]; Community and Government > Education > College and University > Student Center (ID 12047) [85.5]; Community and Government > Organization > Labor Union (ID 12120) [85.5]; Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Yunnan Restaurant (ID 13131) [62.30769230769231]; Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Udon Restaurant (ID 13281) [62.30769230769231]
computer_coaching,Education,Education,11027,Business and Professional Services > Computer Repair Service,Business and Professional Services , Computer Repair Service,85.5,business and professional services computer repair service,Business and Professional Services > Computer Repair Service (ID 11027) [85.5]; Community and Government > Education > Computer Training School (ID 12049) [85.5]; Retail > Computers and Electronics Retail (ID 17023) [68.27586206896552]; Retail > Computers and Electronics Retail > Electronics Store (ID 17025) [64.86206896551724]; Retail > Computers and Electronics Retail > Mobile Phone Store (ID 17026) [64.86206896551724]
college_counseling,Education,Education,11050,Business and Professional Services > Financial Service > Credit Counseling and Bankruptcy Service,Business and Professional Services , Financial Service ,85.5,business and professional services financial service credit counseling and bankruptcy service,Business and Professional Services > Financial Service > Credit Counseling and Bankruptcy Service (ID 11050) [85.5]; Community and Government > Education > College and University (ID 12013) [85.5]; Community and Government > Education > College and University > College Academic Building (ID 12014) [85.5]; Community and Government > Education > College and University > College Administrative Building (ID 12015) [85.5]; Community and Government > Education > College and University > College Arts Building (ID 12016) [85.5]
specialty_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,85.5,arts and entertainment samba school,Arts and Entertainment > Samba School (ID 10050) [85.5]; Community and Government > Education > Art School (ID 12011) [85.5]; Community and Government > Education > Circus School (ID 12012) [85.5]; Community and Government > Education > College and University > Law School (ID 12044) [85.5]; Community and Government > Education > College and University > Medical School (ID 12045) [85.5]
cosmetology_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,85.5,arts and entertainment samba school,Arts and Entertainment > Samba School (ID 10050) [85.5]; Community and Government > Education > Art School (ID 12011) [85.5]; Community and Government > Education > Circus School (ID 12012) [85.5]; Community and Government > Education > College and University > Law School (ID 12044) [85.5]; Community and Government > Education > College and University > Medical School (ID 12045) [85.5]
cooking_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,85.5,arts and entertainment samba school,Arts and Entertainment > Samba School (ID 10050) [85.5]; Community and Government > Education > Art School (ID 12011) [85.5]; Community and Government > Education > Circus School (ID 12012) [85.5]; Community and Government > Education > College and University > Law School (ID 12044) [85.5]; Community and Government > Education > College and University > Medical School (ID 12045) [85.5]
coach_bus,Education,Transportation,19042,Travel and Transportation > Transport Hub > Bus Station,Travel and Transportation , Transport Hub ,85.5,travel and transportation transport hub bus station,Travel and Transportation > Transport Hub > Bus Station (ID 19042) [85.5]; Travel and Transportation > Transport Hub > Bus Stop (ID 19043) [85.5]; Travel and Transportation > Transportation Service > Charter Bus (ID 19052) [85.5]; Landmarks and Outdoors > Beach (ID 16003) [64.125]; Business and Professional Services > Child Care Service (ID 11025) [57.0]
photography_classes,Education,Education,11137,Business and Professional Services > Photography Service,Business and Professional Services , Photography Service,85.5,business and professional services photography service,Business and Professional Services > Photography Service (ID 11137) [85.5]; Business and Professional Services > Photography Service > Photographer (ID 11138) [85.5]; Business and Professional Services > Photography Service > Photography Lab (ID 11139) [85.5]; Business and Professional Services > Photography Service > Photography Studio (ID 11140) [85.5]; Travel and Transportation > Port (ID 19023) [67.5]
florist,Event Services,Event Services,16015,Landmarks and Outdoors > Forest,Landmarks and Outdoors , Forest,76.92307692307692,forest,Landmarks and Outdoors > Forest (ID 16015) [76.92307692307692]; Health and Medicine > Mental Health Service > Psychologist (ID 15020) [69.23076923076923]; Health and Medicine > Physician > Anesthesiologist (ID 15028) [69.23076923076923]; Health and Medicine > Physician > Cardiologist (ID 15029) [69.23076923076923]; Health and Medicine > Physician > Dermatologist (ID 15030) [69.23076923076923]
party_equipment_rental,Event Services,Event Services,10034,Arts and Entertainment > Party Center,Arts and Entertainment , Party Center,85.5,arts and entertainment party center,Arts and Entertainment > Party Center (ID 10034) [85.5]; Business and Professional Services > Electrical Equipment Supplier (ID 11032) [85.5]; Business and Professional Services > Equipment Rental Service (ID 11037) [85.5]; Business and Professional Services > Industrial Equipment Supplier (ID 11105) [85.5]; Business and Professional Services > Rental Service (ID 11156) [85.5]
party_character,Event Services,Event Services,10034,Arts and Entertainment > Party Center,Arts and Entertainment , Party Center,85.5,arts and entertainment party center,Arts and Entertainment > Party Center (ID 10034) [85.5]; Retail > Party Supply Store (ID 17107) [85.5]; Landmarks and Outdoors > Park (ID 16032) [77.14285714285715]; Business and Professional Services > Health and Beauty Service > Spa (ID 11073) [72.0]; Travel and Transportation > Port (ID 19023) [67.5]
wedding_planning,Event Services,Event Services,11177,Business and Professional Services > Wedding Hall,Business and Professional Services , Wedding Hall,85.5,business and professional services wedding hall,Business and Professional Services > Wedding Hall (ID 11177) [85.5]; Travel and Transportation > Transport Hub > Airport > Plane (ID 19062) [76.0]; Landmarks and Outdoors > Plaza (ID 16041) [64.125]; Dining and Drinking (ID 13000) [62.857142857142854]; Travel and Transportation > Lodging (ID 19009) [62.18181818181819]
party_bus_rental,Event Services,Event Services,10034,Arts and Entertainment > Party Center,Arts and Entertainment , Party Center,85.5,arts and entertainment party center,Arts and Entertainment > Party Center (ID 10034) [85.5]; Business and Professional Services > Equipment Rental Service (ID 11037) [85.5]; Business and Professional Services > Rental Service (ID 11156) [85.5]; Retail > Party Supply Store (ID 17107) [85.5]; Sports and Recreation > Water Sports > Canoe and Kayak Rental (ID 18068) [85.5]
photo_booth_rental,Event Services,Event Services,11037,Business and Professional Services > Equipment Rental Service,Business and Professional Services , Equipment Rental Service,85.5,business and professional services equipment rental service,Business and Professional Services > Equipment Rental Service (ID 11037) [85.5]; Business and Professional Services > Rental Service (ID 11156) [85.5]; Sports and Recreation > Water Sports > Canoe and Kayak Rental (ID 18068) [85.5]; Travel and Transportation > Bike Rental (ID 19002) [85.5]; Travel and Transportation > Boat Rental (ID 19003) [85.5]
dj_service,Event Services,Event Services,11002,Business and Professional Services > Agriculture and Forestry Service,Business and Professional Services , Agriculture and Forestry Service,85.5,business and professional services agriculture and forestry service,Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]; Business and Professional Services > Audiovisual Service (ID 11006) [85.5]; Business and Professional Services > Automotive Service (ID 11009) [85.5]; Business and Professional Services > Automotive Service > Automotive Repair Shop (ID 11010) [85.5]
wholesale_florist,Event Services,Event Services,17139,Retail > Warehouse or Wholesale Store,Retail , Warehouse or Wholesale Store,85.5,retail warehouse or wholesale store,Retail > Warehouse or Wholesale Store (ID 17139) [85.5]; Business and Professional Services > Wholesaler (ID 11179) [85.26315789473685]; Landmarks and Outdoors > Stable (ID 16048) [68.4]; Landmarks and Outdoors > Forest (ID 16015) [65.45454545454547]; Business and Professional Services > Health and Beauty Service > Spa (ID 11073) [60.00000000000001]
balloon_services,Event Services,Event Services,11000,Business and Professional Services,Business and Professional Services,,85.5,business and professional services,Business and Professional Services (ID 11000) [85.5]; Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]
installment_loans,Financial Services,Financial Services,11054,Business and Professional Services > Financial Service > Loans Agency,Business and Professional Services , Financial Service ,85.5,business and professional services financial service loans agency,Business and Professional Services > Financial Service > Loans Agency (ID 11054) [85.5]; Travel and Transportation > Lodging > Inn (ID 19015) [72.0]; Business and Professional Services > Health and Beauty Service > Spa (ID 11073) [60.00000000000001]; Dining and Drinking > Restaurant > French Restaurant > Estaminet (ID 13158) [60.00000000000001]; Event > Line (ID 14008) [60.00000000000001]
livestock_breeder,Financial Services,Financial Services,11055,Business and Professional Services > Financial Service > Stock Broker,Business and Professional Services , Financial Service ,68.96551724137932,stock broker,Business and Professional Services > Financial Service > Stock Broker (ID 11055) [68.96551724137932]; Dining and Drinking > Bar (ID 13003) [68.4]; Dining and Drinking > Restaurant > Diner (ID 13049) [67.5]; Event > Line (ID 14008) [67.5]; Landmarks and Outdoors > Tree (ID 16069) [67.5]
customs_broker,Financial Services,Financial Services,11047,Business and Professional Services > Financial Service > Business Broker,Business and Professional Services , Financial Service ,85.5,business and professional services financial service business broker,Business and Professional Services > Financial Service > Business Broker (ID 11047) [85.5]; Business and Professional Services > Financial Service > Stock Broker (ID 11055) [85.5]; Dining and Drinking > Bar (ID 13003) [68.4]; Business and Professional Services > Home Improvement Service > Roofer (ID 11098) [65.45454545454547]; Arts and Entertainment > Circus (ID 10009) [60.00000000000001]
debt_relief_services,Financial Services,Financial Services,11000,Business and Professional Services,Business and Professional Services,,85.5,business and professional services,Business and Professional Services (ID 11000) [85.5]; Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]
atms,Financial Services,Financial Services,11044,Business and Professional Services > Financial Service > Banking and Finance > ATM,Business and Professional Services , Financial Service ,85.71428571428572,atm,Business and Professional Services > Financial Service > Banking and Finance > ATM (ID 11044) [85.71428571428572]; Arts and Entertainment (ID 10000) [67.5]; Arts and Entertainment > Amusement Park (ID 10001) [67.5]; Arts and Entertainment > Aquarium (ID 10002) [67.5]; Arts and Entertainment > Arcade (ID 10003) [67.5]
stock_and_bond_brokers,Financial Services,Financial Services,10001,Arts and Entertainment > Amusement Park,Arts and Entertainment , Amusement Park,85.5,arts and entertainment amusement park,Arts and Entertainment > Amusement Park (ID 10001) [85.5]; Arts and Entertainment > Art Gallery (ID 10004) [85.5]; Arts and Entertainment > Bingo Center (ID 10005) [85.5]; Arts and Entertainment > Bowling Alley (ID 10006) [85.5]; Arts and Entertainment > Comedy Club (ID 10010) [85.5]
abuse_and_addiction_treatment,Financial Services,Financial Services,10025,Arts and Entertainment > Movie Theater > Drive-in Theater,Arts and Entertainment , Movie Theater ,85.5,arts and entertainment movie theater drive in theater,Arts and Entertainment > Movie Theater > Drive-in Theater (ID 10025) [85.5]; Arts and Entertainment > Movie Theater > Indie Movie Theater (ID 10026) [85.5]; Arts and Entertainment > Museum > History Museum (ID 10030) [85.5]; Arts and Entertainment > Museum > Science Museum (ID 10031) [85.5]; Arts and Entertainment > Performing Arts Venue (ID 10035) [85.5]
water_treatment_equipment_and_services,Financial Services,Financial Services,10000,Arts and Entertainment,Arts and Entertainment,,85.5,arts and entertainment,Arts and Entertainment (ID 10000) [85.5]; Arts and Entertainment > Performing Arts Venue > Amphitheater (ID 10036) [85.5]; Arts and Entertainment > Performing Arts Venue > Concert Hall (ID 10037) [85.5]; Arts and Entertainment > Performing Arts Venue > Indie Theater (ID 10038) [85.5]; Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue (ID 10040) [85.5]
alcohol_and_drug_treatment_centers,Financial Services,Financial Services,10000,Arts and Entertainment,Arts and Entertainment,,85.5,arts and entertainment,Arts and Entertainment (ID 10000) [85.5]; Arts and Entertainment > Movie Theater > Drive-in Theater (ID 10025) [85.5]; Arts and Entertainment > Movie Theater > Indie Movie Theater (ID 10026) [85.5]; Arts and Entertainment > Performing Arts Venue > Amphitheater (ID 10036) [85.5]; Arts and Entertainment > Performing Arts Venue > Concert Hall (ID 10037) [85.5]
alcohol_and_drug_treatment_center,Financial Services,Financial Services,10000,Arts and Entertainment,Arts and Entertainment,,85.5,arts and entertainment,Arts and Entertainment (ID 10000) [85.5]; Arts and Entertainment > Bingo Center (ID 10005) [85.5]; Arts and Entertainment > Laser Tag Center (ID 10022) [85.5]; Arts and Entertainment > Movie Theater > Drive-in Theater (ID 10025) [85.5]; Arts and Entertainment > Movie Theater > Indie Movie Theater (ID 10026) [85.5]
life_insurance,Financial Services,Financial Services,11107,Business and Professional Services > Insurance Agency,Business and Professional Services , Insurance Agency,85.5,business and professional services insurance agency,Business and Professional Services > Insurance Agency (ID 11107) [85.5]; Travel and Transportation > Lodging > Inn (ID 19015) [68.4]; Event > Line (ID 14008) [67.5]; Dining and Drinking > Restaurant > Deli (ID 13039) [64.125]; Business and Professional Services > Financial Service > Banking and Finance (ID 11046) [60.00000000000001]
brokers,Financial Services,Financial Services,11047,Business and Professional Services > Financial Service > Business Broker,Business and Professional Services , Financial Service ,83.07692307692308,business broker,Business and Professional Services > Financial Service > Business Broker (ID 11047) [83.07692307692308]; Business and Professional Services > Financial Service > Stock Broker (ID 11055) [83.07692307692308]; Dining and Drinking > Bar (ID 13003) [72.0]; Dining and Drinking > Restaurant > Hawaiian Restaurant > Poke Restaurant (ID 13193) [64.28571428571429]; Business and Professional Services > Home Improvement Service > Roofer (ID 11098) [61.53846153846154]
pet_insurance,Financial Services,Financial Services,11107,Business and Professional Services > Insurance Agency,Business and Professional Services , Insurance Agency,85.5,business and professional services insurance agency,"Business and Professional Services > Insurance Agency (ID 11107) [85.5]; Business and Professional Services > Pet Service (ID 11133) [85.5]; Business and Professional Services > Pet Service > Pet Grooming Service (ID 11134) [85.5]; Business and Professional Services > Pet Service > Pet Sitting and Boarding Service (ID 11135) [85.5]; Dining and Drinking > Cafe, Coffee, and Tea House > Pet Café (ID 13063) [85.5]"
mortgage_broker,Financial Services,Financial Services,11047,Business and Professional Services > Financial Service > Business Broker,Business and Professional Services , Financial Service ,85.5,business and professional services financial service business broker,Business and Professional Services > Financial Service > Business Broker (ID 11047) [85.5]; Business and Professional Services > Financial Service > Stock Broker (ID 11055) [85.5]; Dining and Drinking > Bar (ID 13003) [68.4]; Business and Professional Services > Home Improvement Service > Mover (ID 11093) [67.5]; Travel and Transportation > Port (ID 19023) [67.5]
mortgage_lender,Financial Services,Financial Services,11093,Business and Professional Services > Home Improvement Service > Mover,Business and Professional Services , Home Improvement Service ,67.5,mover,Business and Professional Services > Home Improvement Service > Mover (ID 11093) [67.5]; Dining and Drinking > Restaurant > Diner (ID 13049) [67.5]; Travel and Transportation > Port (ID 19023) [67.5]; Arts and Entertainment > Laser Tag Center (ID 10022) [60.00000000000001]; Dining and Drinking > Cidery (ID 13038) [60.00000000000001]
home_and_rental_insurance,Financial Services,Financial Services,10012,Arts and Entertainment > Country Dance Club,Arts and Entertainment , Country Dance Club,85.5,arts and entertainment country dance club,Arts and Entertainment > Country Dance Club (ID 10012) [85.5]; Arts and Entertainment > Disc Golf Course (ID 10014) [85.5]; Arts and Entertainment > Laser Tag Center (ID 10022) [85.5]; Arts and Entertainment > Mini Golf Course (ID 10023) [85.5]; Arts and Entertainment > Movie Theater > Drive-in Theater (ID 10025) [85.5]
check_cashing_payday_loans,Financial Services,Financial Services,11014,Business and Professional Services > Automotive Service > Smog Check Shop,Business and Professional Services , Automotive Service ,85.5,business and professional services automotive service smog check shop,Business and Professional Services > Automotive Service > Smog Check Shop (ID 11014) [85.5]; Business and Professional Services > Financial Service > Check Cashing Service (ID 11048) [85.5]; Business and Professional Services > Financial Service > Loans Agency (ID 11054) [85.5]; Arts and Entertainment > Casino (ID 10008) [75.00000000000001]; Community and Government > Spiritual Center > Shrine (ID 12108) [60.00000000000001]
bail_bonds_service,Financial Services,Financial Services,11002,Business and Professional Services > Agriculture and Forestry Service,Business and Professional Services , Agriculture and Forestry Service,85.5,business and professional services agriculture and forestry service,Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]; Business and Professional Services > Audiovisual Service (ID 11006) [85.5]; Business and Professional Services > Automotive Service (ID 11009) [85.5]; Business and Professional Services > Automotive Service > Automotive Repair Shop (ID 11010) [85.5]
ice_cream_and_frozen_yoghurt,Food & Dining,Food & Dining,13014,Dining and Drinking > Bar > Ice Bar,Dining and Drinking , Bar ,85.5,ice bar,"Dining and Drinking > Bar > Ice Bar (ID 13014) [85.5]; Dining and Drinking > Restaurant > Burger Joint (ID 13031) [85.5]; Dining and Drinking > Cafe, Coffee, and Tea House (ID 13032) [85.5]; Dining and Drinking > Cafe, Coffee, and Tea House > Bubble Tea Shop (ID 13033) [85.5]; Dining and Drinking > Cafe, Coffee, and Tea House > Café (ID 13034) [85.5]"
undersea_hyperbaric_medicine,Food & Dining,Healthcare & Medical,13049,Dining and Drinking > Restaurant > Diner,Dining and Drinking , Restaurant ,67.5,diner,Dining and Drinking > Restaurant > Diner (ID 13049) [67.5]; Dining and Drinking > Bar > Ice Bar (ID 13014) [61.07142857142858]; Dining and Drinking > Winery (ID 13387) [60.00000000000001]; Dining and Drinking > Bar (ID 13003) [60.0]; Dining and Drinking > Juice Bar (ID 13059) [57.0]
specialty_foods,Food & Dining,Food & Dining,13053,Dining and Drinking > Food Stand,Dining and Drinking , Food Stand,60.35294117647058,food stand,"Dining and Drinking > Food Stand (ID 13053) [60.35294117647058]; Dining and Drinking > Food Truck (ID 13054) [53.4375]; Dining and Drinking > Cafe, Coffee, and Tea House > Pet Café (ID 13063) [51.42857142857142]; Dining and Drinking > Restaurant > Pizzeria (ID 13064) [51.42857142857142]; Dining and Drinking > Bar > Speakeasy (ID 13021) [50.0]"
b2b_food_products,Food & Dining,Business-to-Business,11056,Business and Professional Services > Food and Beverage Service,Business and Professional Services , Food and Beverage Service,85.5,business and professional services food and beverage service,Business and Professional Services > Food and Beverage Service (ID 11056) [85.5]; Business and Professional Services > Food and Beverage Service > Caterer (ID 11057) [85.5]; Business and Professional Services > Food and Beverage Service > Food Distribution Center (ID 11058) [85.5]; Dining and Drinking > Food Court (ID 13052) [85.5]; Dining and Drinking > Food Stand (ID 13053) [85.5]
pasta_shop,Food & Dining,Food & Dining,13047,Dining and Drinking > Dessert Shop > Pastry Shop,Dining and Drinking , Dessert Shop ,85.71428571428572,pastry shop,"Dining and Drinking > Dessert Shop > Pastry Shop (ID 13047) [85.71428571428572]; Dining and Drinking > Bagel Shop (ID 13001) [85.5]; Dining and Drinking > Cafe, Coffee, and Tea House > Bubble Tea Shop (ID 13033) [85.5]; Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop (ID 13035) [85.5]; Dining and Drinking > Dessert Shop (ID 13040) [85.5]"
coffee_and_tea_supplies,Food & Dining,Business-to-Business,11001,Business and Professional Services > Advertising Agency,Business and Professional Services , Advertising Agency,85.5,business and professional services advertising agency,Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]; Business and Professional Services > Architecture Firm (ID 11003) [85.5]; Business and Professional Services > Art Restoration Service (ID 11004) [85.5]; Business and Professional Services > Art Studio (ID 11005) [85.5]
sandwich_shop,Food & Dining,Food & Dining,13001,Dining and Drinking > Bagel Shop,Dining and Drinking , Bagel Shop,85.5,dining and drinking bagel shop,"Dining and Drinking > Bagel Shop (ID 13001) [85.5]; Dining and Drinking > Cafe, Coffee, and Tea House > Bubble Tea Shop (ID 13033) [85.5]; Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop (ID 13035) [85.5]; Dining and Drinking > Dessert Shop (ID 13040) [85.5]; Dining and Drinking > Dessert Shop > Cupcake Shop (ID 13042) [85.5]"
frozen_foods,Food & Dining,Food & Dining,13044,Dining and Drinking > Dessert Shop > Frozen Yogurt Shop,Dining and Drinking , Dessert Shop ,85.5,dining and drinking dessert shop frozen yogurt shop,Dining and Drinking > Dessert Shop > Frozen Yogurt Shop (ID 13044) [85.5]; Dining and Drinking > Restaurant > Southern Food Restaurant (ID 13344) [63.0]; Dining and Drinking > Food Court (ID 13052) [52.5]; Dining and Drinking > Food Stand (ID 13053) [52.5]; Dining and Drinking > Food Truck (ID 13054) [52.5]
food_consultant,Food & Dining,Food & Dining,13052,Dining and Drinking > Food Court,Dining and Drinking , Food Court,85.5,dining and drinking food court,Dining and Drinking > Food Court (ID 13052) [85.5]; Dining and Drinking > Food Stand (ID 13053) [85.5]; Dining and Drinking > Food Truck (ID 13054) [85.5]; Dining and Drinking > Restaurant > Comfort Food Restaurant (ID 13134) [85.5]; Dining and Drinking > Restaurant > Fast Food Restaurant (ID 13145) [85.5]
