foursquare_id,foursquare_name,foursquare_label,overture_category,similarity_score,match_type,semantic_group,has_overture_match,match_quality
4d4b7104d754a06370d81259,Arts and Entertainment,Arts and Entertainment,arts_and_entertainment,1.0,semantic_group,entertainment_recreation,True,Excellent
4bf58dd8d48988d182941735,Amusement Park,Arts and Entertainment > Amusement Park,amusement_park,1.0,semantic_group,entertainment_recreation,True,Excellent
5109983191d435c0d71c2bb1,Attraction,Arts and Entertainment > Amusement Park > Attraction,attraction_farm,0.77,direct_match,none,True,Good
4fceea171983d5d06c3e9823,Aquarium,Arts and Entertainment > Aquarium,aquarium,1.0,direct_match,none,True,Excellent
4bf58dd8d48988d1e1931735,Arcade,Arts and Entertainment > Arcade,arcade,1.0,direct_match,none,True,Excellent
4bf58dd8d48988d1e2931735,Art Gallery,Arts and Entertainment > Art Gallery,art_museum,0.3571428571428571,semantic_group,entertainment_recreation,True,Fair
63be6904847c3692a84b9b20,Bingo Center,Arts and Entertainment > Bingo Center,betting_center,0.5051282051282051,semantic_group,entertainment_recreation,True,Fair
4bf58dd8d48988d1e4931735,Bowling Alley,Arts and Entertainment > Bowling Alley,bowling_alley,1.0,direct_match,none,True,Excellent
63be6904847c3692a84b9b21,Carnival,Arts and Entertainment > Carnival,,0.0,no_match,none,False,
4bf58dd8d48988d17c941735,Casino,Arts and Entertainment > Casino,casino,1.0,direct_match,none,True,Excellent
52e81612bcbc57f1066b79e7,Circus,Arts and Entertainment > Circus,circus,1.0,direct_match,none,True,Excellent
4bf58dd8d48988d18e941735,Comedy Club,Arts and Entertainment > Comedy Club,comedy_club,1.0,semantic_group,entertainment_recreation,True,Excellent
63be6904847c3692a84b9b22,Country Club,Arts and Entertainment > Country Club,country_club,1.0,semantic_group,entertainment_recreation,True,Excellent
52e81612bcbc57f1066b79ef,Country Dance Club,Arts and Entertainment > Country Dance Club,dance_club,0.819047619047619,semantic_group,entertainment_recreation,True,Excellent
63be6904847c3692a84b9b23,Dance Hall,Arts and Entertainment > Dance Hall,country_dance_hall,0.819047619047619,semantic_group,government_public,True,Excellent
52e81612bcbc57f1066b79e8,Disc Golf,Arts and Entertainment > Disc Golf,golf_club,0.34444444444444444,semantic_group,entertainment_recreation,True,Fair
63be6904847c3692a84b9c03,Disc Golf Course,Arts and Entertainment > Disc Golf Course,indoor_golf_center,0.31176470588235294,semantic_group,entertainment_recreation,True,Fair
5f2c2834b6d05514c704451e,Escape Room,Arts and Entertainment > Escape Room,escape_rooms,0.7492753623188406,direct_match,none,True,Good
56aa371be4b08b9a8d573532,Exhibit,Arts and Entertainment > Exhibit,exhibition_and_trade_center,0.3647058823529412,semantic_group,entertainment_recreation,True,Fair
4eb1daf44b900d56c88a4600,Fair,Arts and Entertainment > Fair,fair,1.0,direct_match,none,True,Excellent
4bf58dd8d48988d18d941735,Gaming Cafe,Arts and Entertainment > Gaming Cafe,cafe,0.6633333333333333,semantic_group,food_dining,True,Good
4bf58dd8d48988d1f1931735,General Entertainment,Arts and Entertainment > General Entertainment,adult_entertainment,0.4866666666666667,semantic_group,entertainment_recreation,True,Fair
52e81612bcbc57f1066b79ea,Go Kart Track,Arts and Entertainment > Go Kart Track,go_kart_club,0.538,semantic_group,entertainment_recreation,True,Fair
4bf58dd8d48988d1f0941735,Internet Cafe,Arts and Entertainment > Internet Cafe,internet_cafe,1.0,semantic_group,food_dining,True,Excellent
5744ccdfe4b0c0459246b4bb,Karaoke Box,Arts and Entertainment > Karaoke Box,karaoke,0.7611111111111111,direct_match,none,True,Good
52e81612bcbc57f1066b79e6,Laser Tag Center,Arts and Entertainment > Laser Tag Center,flyboarding_center,0.38382352941176473,semantic_group,entertainment_recreation,True,Fair
52e81612bcbc57f1066b79eb,Mini Golf Course,Arts and Entertainment > Mini Golf Course,golf_course,0.8592592592592592,direct_match,none,True,Excellent
4bf58dd8d48988d17f941735,Movie Theater,Arts and Entertainment > Movie Theater,dinner_theater,0.4629629629629629,semantic_group,entertainment_recreation,True,Fair
56aa371be4b08b9a8d5734de,Drive-in Theater,Arts and Entertainment > Movie Theater > Drive-in Theater,drive_in_theater,1.0,semantic_group,entertainment_recreation,True,Excellent
4bf58dd8d48988d17e941735,Indie Movie Theater,Arts and Entertainment > Movie Theater > Indie Movie Theater,,0.0,no_match,none,False,
4bf58dd8d48988d180941735,Multiplex,Arts and Entertainment > Movie Theater > Multiplex,,0.0,no_match,none,False,
4bf58dd8d48988d181941735,Museum,Arts and Entertainment > Museum,museum,1.0,semantic_group,entertainment_recreation,True,Excellent
4bf58dd8d48988d18f941735,Art Museum,Arts and Entertainment > Museum > Art Museum,asian_art_museum,0.8410256410256409,semantic_group,entertainment_recreation,True,Excellent
559acbe0498e472f1a53fa23,Erotic Museum,Arts and Entertainment > Museum > Erotic Museum,textile_museum,0.4629629629629629,semantic_group,entertainment_recreation,True,Fair
4bf58dd8d48988d190941735,History Museum,Arts and Entertainment > Museum > History Museum,history_museum,1.0,semantic_group,entertainment_recreation,True,Excellent
4bf58dd8d48988d191941735,Science Museum,Arts and Entertainment > Museum > Science Museum,science_museum,1.0,semantic_group,entertainment_recreation,True,Excellent
4bf58dd8d48988d11f941735,Night Club,Arts and Entertainment > Night Club,fencing_club,0.45757575757575764,semantic_group,entertainment_recreation,True,Fair
5744ccdfe4b0c0459246b4b8,Pachinko Parlor,Arts and Entertainment > Pachinko Parlor,,0.0,no_match,none,False,
63be6904847c3692a84b9b24,Party Center,Arts and Entertainment > Party Center,donation_center,0.43333333333333335,semantic_group,entertainment_recreation,True,Fair
